period,subba,subba-name,parent,parent-name,value,value-units
2024-08-22T19,ZOND,North - NYIS,NYIS,New York Independent System Operator,624,megawatthours
2024-08-22T19,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,592,megawatthours
2024-08-22T19,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1152,megawatthours
2024-08-22T19,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,980,megawatthours
2024-08-22T19,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,299,megawatthours
2024-08-22T19,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,693,megawatthours
2024-08-22T19,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6341,megawatthours
2024-08-22T19,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2601,megawatthours
2024-08-22T18,ZONA,West - NYIS,NYIS,New York Independent System Operator,1744,megawatthours
2024-08-22T18,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,945,megawatthours
2024-08-22T18,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1382,megawatthours
2024-08-22T18,ZOND,North - NYIS,NYIS,New York Independent System Operator,629,megawatthours
2024-08-22T18,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,581,megawatthours
2024-08-22T18,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1164,megawatthours
2024-08-22T18,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,933,megawatthours
2024-08-22T18,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,304,megawatthours
2024-08-22T18,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,666,megawatthours
2024-08-22T18,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6285,megawatthours
2024-08-22T18,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2481,megawatthours
2024-08-22T17,ZONA,West - NYIS,NYIS,New York Independent System Operator,1709,megawatthours
2024-08-22T17,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,922,megawatthours
2024-08-22T17,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1317,megawatthours
2024-08-22T17,ZOND,North - NYIS,NYIS,New York Independent System Operator,631,megawatthours
2024-08-22T17,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,608,megawatthours
2024-08-22T17,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1214,megawatthours
2024-08-22T17,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,882,megawatthours
2024-08-22T17,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,285,megawatthours
2024-08-22T17,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,636,megawatthours
2024-08-22T17,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6158,megawatthours
2024-08-22T17,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2296,megawatthours
2024-08-22T16,ZONA,West - NYIS,NYIS,New York Independent System Operator,1689,megawatthours
2024-08-22T16,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,915,megawatthours
2024-08-22T16,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1264,megawatthours
2024-08-22T16,ZOND,North - NYIS,NYIS,New York Independent System Operator,621,megawatthours
